customer_id,age,gender,city,subscription_tier,tenure_days,total_transactions,total_spend,avg_transaction_amount,max_transaction_amount,unique_categories,days_since_last_purchase,total_tickets,resolved_tickets,avg_resolution_days,ticket_resolution_rate,total_reviews,avg_rating,min_rating,churned
CUST_00001,43,Female,Seattle,Basic,617,13,611.49,47.03769230769231,109.31,7,25,4.0,4.0,4.8,1.0,2.0,4.0,4.0,0
CUST_00002,35,Male,New York,Premium,450,13,735.39,56.568461538461534,138.22,8,8,1.0,1.0,4.0,1.0,2.0,4.5,4.0,0
CUST_00003,56,Male,Houston,Enterprise,503,10,505.27,50.527,169.97,6,7,1.0,1.0,4.0,1.0,2.0,4.5,4.0,0
CUST_00004,32,Male,Chicago,Free,627,15,522.38,34.82533333333333,82.89,8,120,4.0,3.0,5.0,0.75,1.0,2.0,2.0,0
CUST_00005,40,Male,Seattle,Free,642,13,690.72,53.13230769230769,155.81,6,192,4.0,4.0,5.2,1.0,3.0,2.33,2.0,1
CUST_00006,25,Male,Austin,Basic,299,14,721.6,51.542857142857144,154.93,7,39,1.0,1.0,5.0,1.0,5.0,4.4,3.0,1
CUST_00007,55,Male,New York,Basic,701,12,552.66,46.055,91.35,6,163,2.0,2.0,5.0,1.0,1.0,4.0,4.0,1
CUST_00008,31,Female,Los Angeles,Free,508,10,662.9499999999999,66.29499999999999,204.89,6,77,3.0,3.0,4.7,1.0,3.0,3.67,3.0,0
CUST_00009,30,Female,Houston,Basic,214,11,671.52,61.04727272727273,244.22,6,4,2.0,2.0,3.0,1.0,1.0,3.0,3.0,0
CUST_00010,37,Male,Austin,Enterprise,704,23,1607.25,69.8804347826087,171.27,8,13,2.0,2.0,6.0,1.0,2.0,4.5,4.0,0
CUST_00011,47,Male,Dallas,Basic,528,19,1164.15,61.271052631578954,232.47,9,14,1.0,1.0,3.0,1.0,4.0,3.75,3.0,0
CUST_00012,22,Non-binary,Denver,Premium,302,18,1238.04,68.78,131.31,9,8,0.0,0.0,0.0,0.0,5.0,3.8,3.0,0
CUST_00013,46,Male,Houston,Free,272,13,865.55,66.58076923076922,157.01,6,31,2.0,1.0,4.0,0.5,0.0,0.0,0.0,1
CUST_00014,36,Male,Austin,Free,447,9,458.92,50.99111111111111,230.65,7,94,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0
CUST_00015,32,Male,Boston,Basic,725,14,723.02,51.644285714285715,96.96,7,52,2.0,2.0,4.5,1.0,0.0,0.0,0.0,0
CUST_00016,41,Male,Boston,Enterprise,568,21,1204.72,57.36761904761905,144.01,10,16,0.0,0.0,0.0,0.0,2.0,3.5,3.0,0
CUST_00017,29,Male,Denver,Premium,299,16,925.38,57.83625,122.56,9,18,0.0,0.0,0.0,0.0,3.0,3.67,3.0,0
CUST_00018,50,Female,Philadelphia,Free,447,12,486.02,40.501666666666665,70.63,9,10,3.0,2.0,4.0,0.667,3.0,2.33,1.0,1
CUST_00019,27,Female,Chicago,Basic,511,17,921.38,54.19882352941176,142.72,8,30,2.0,2.0,2.0,1.0,4.0,3.0,1.0,0
CUST_00020,32,Male,Boston,Basic,387,14,865.61,61.82928571428572,180.98,6,4,1.0,1.0,6.0,1.0,2.0,3.0,3.0,0
CUST_00021,47,Female,Los Angeles,Basic,637,15,1186.1597999999992,79.07731999999994,350.9397999999992,6,139,3.0,3.0,3.7,1.0,0.0,0.0,0.0,1
CUST_00022,42,Female,San Antonio,Basic,632,20,1750.359799999999,87.51798999999995,350.9397999999992,7,5,1.0,1.0,1.0,1.0,5.0,4.4,2.0,0
