customer_id,age,gender,city,signup_date,subscription_tier
CUST_00001,43,Female,Seattle,2023-04-25,Basic
CUST_00002,35,Male,New York,2023-10-09,Premium
CUST_00003,56,Male,Houston,2023-08-17,Enterprise
CUST_00004,32,Male,Chicago,2023-04-15,Free
CUST_00005,40,Male,Seattle,2023-03-31,Free
CUST_00006,25,Male,Austin,2024-03-08,Basic
CUST_00007,55,Male,New York,2023-01-31,Basic
CUST_00008,31,Female,Los Angeles,2023-08-12,Free
CUST_00009,30,Female,Houston,2024-06-01,Basic
CUST_00010,37,Male,Austin,2023-01-28,Enterprise
CUST_00011,47,Male,Dallas,2023-07-23,Basic
CUST_00012,22,Non-binary,Denver,2024-03-05,Premium
CUST_00013,46,Male,Houston,2024-04-04,Free
CUST_00014,36,Male,Austin,2023-10-12,Free
CUST_00015,32,Male,Boston,2023-01-07,Basic
CUST_00016,41,Male,Boston,2023-06-13,Enterprise
CUST_00017,29,Male,Denver,2024-03-08,Premium
CUST_00018,50,Female,Philadelphia,2023-10-12,Free
CUST_00019,27,Female,Chicago,2023-08-09,Basic
CUST_00020,32,Male,Boston,2023-12-11,Basic
CUST_00021,47,Female,Los Angeles,2023-04-05,Basic
CUST_00022,42,Female,San Antonio,2023-04-10,Basic
CUST_00023,37,Female,Philadelphia,2023-12-19,Basic
CUST_00024,39,Male,Austin,2023-09-28,Basic
CUST_00025,35,Male,Boston,2023-02-14,Premium
CUST_00026,28,Female,Denver,2024-04-15,Premium
CUST_00027,48,Female,Dallas,2023-05-08,Free
CUST_00028,39,Female,Portland,2024-01-23,Premium
CUST_00029,29,Male,Los Angeles,2023-10-28,Basic
CUST_00030,41,Male,Nashville,2024-01-06,Basic
CUST_00031,21,Male,Austin,2023-07-16,Basic
CUST_00032,36,Female,Denver,2023-03-13,Premium
CUST_00033,41,Non-binary,New York,2023-08-22,Free
CUST_00034,18,Male,Boston,2023-10-24,Free
CUST_00035,38,Male,Los Angeles,2023-08-27,Free
CUST_00036,35,Male,Nashville,2023-04-14,Basic
CUST_00037,51,Male,San Antonio,2023-10-12,Premium
CUST_00038,54,Female,San Diego,2024-01-09,Basic
CUST_00039,26,Male,Chicago,2024-01-15,Basic
CUST_00040,19,Female,Philadelphia,2023-08-03,Free
CUST_00041,26,Female,Seattle,2023-10-01,Free
CUST_00042,28,Female,Denver,2023-03-15,Premium
CUST_00043,47,Female,Austin,2023-06-25,Basic
CUST_00044,18,Male,Dallas,2023-09-08,Premium
CUST_00045,41,Male,Chicago,2024-04-18,Basic
CUST_00046,44,Female,San Antonio,2023-10-04,Premium
CUST_00047,29,Male,Portland,2023-08-13,Premium
CUST_00048,41,Male,Seattle,2023-11-29,Free
CUST_00049,60,Female,Nashville,2023-02-27,Free
CUST_00050,26,Male,Houston,2023-02-02,Premium
CUST_00051,49,Female,Boston,2023-11-20,Basic
CUST_00052,35,Male,San Antonio,2023-10-02,Free
CUST_00053,37,Female,Los Angeles,2023-08-05,Basic
CUST_00054,38,Female,Portland,2023-11-19,Basic
CUST_00055,45,Male,Houston,2024-05-26,Free
CUST_00056,25,Female,San Antonio,2024-04-14,Enterprise
CUST_00057,35,Male,Chicago,2023-09-29,Enterprise
CUST_00058,43,Non-binary,Chicago,2023-09-10,Premium
CUST_00059,27,Female,Denver,2023-09-27,Basic
CUST_00060,40,Female,Denver,2024-03-14,Premium
CUST_00061,27,Female,Portland,2024-02-13,Enterprise
CUST_00062,38,Female,Philadelphia,2023-08-13,Premium
CUST_00063,50,Male,Chicago,2024-06-05,Free
CUST_00064,44,Female,San Diego,2023-04-04,Enterprise
CUST_00065,44,Female,Boston,2023-02-18,Basic
CUST_00066,49,Female,Nashville,2023-04-23,Basic
CUST_00067,28,Female,Chicago,2023-06-13,Free
CUST_00068,65,Male,Boston,2024-03-08,Basic
CUST_00069,32,Male,Austin,2023-03-07,Basic
CUST_00070,29,Female,San Antonio,2024-01-26,Free
CUST_00071,38,Female,Austin,2024-04-24,Basic
CUST_00072,18,Female,Dallas,2023-09-15,Free
CUST_00073,28,Male,Dallas,2023-01-12,Enterprise
CUST_00074,44,Male,Seattle,2023-04-28,Free
CUST_00075,32,Female,Seattle,2024-07-03,Premium
CUST_00076,22,Female,Boston,2023-10-01,Premium
CUST_00077,63,Male,Boston,2023-12-15,Free
CUST_00078,53,Male,Los Angeles,2023-10-28,Free
CUST_00079,43,Male,San Antonio,2023-06-11,Free
CUST_00080,18,Male,San Diego,2023-01-04,Basic
CUST_00081,57,Female,Denver,2023-09-27,Free
CUST_00082,55,Female,Dallas,2023-07-02,Premium
CUST_00083,26,Male,Dallas,2023-04-19,Basic
CUST_00084,38,Female,Nashville,2023-11-02,Basic
CUST_00085,57,Male,Nashville,2024-06-03,Basic
CUST_00086,36,Non-binary,Austin,2023-07-23,Enterprise
CUST_00087,41,Male,Chicago,2024-01-18,Basic
CUST_00088,30,Male,Boston,2023-06-15,Premium
CUST_00089,48,Female,Dallas,2024-06-27,Premium
CUST_00090,28,Female,Portland,2023-01-01,Premium
CUST_00091,37,Male,Austin,2023-11-28,Premium
CUST_00092,44,Female,San Diego,2023-01-20,Basic
CUST_00093,47,Male,Los Angeles,2024-01-07,Enterprise
CUST_00094,53,Male,Portland,2023-11-11,Premium
CUST_00095,41,Female,Houston,2023-03-01,Basic
CUST_00096,28,Male,Houston,2023-03-22,Basic
CUST_00097,51,Female,Los Angeles,2024-05-12,Premium
CUST_00098,37,Male,Nashville,2023-03-12,Basic
CUST_00099,49,Male,Boston,2024-06-29,Free
CUST_00100,42,Female,Boston,2023-05-09,Free
CUST_00101,40,Male,Chicago,2024-05-01,Premium
CUST_00102,32,Male,Dallas,2023-06-19,Enterprise
CUST_00103,20,Female,Phoenix,2024-06-24,Enterprise
CUST_00104,29,Female,Nashville,2024-03-09,Basic
CUST_00105,48,Male,Houston,2023-07-25,Basic
CUST_00106,37,Male,Denver,2023-11-16,Free
CUST_00107,41,Female,San Antonio,2024-01-18,Basic
CUST_00108,36,Male,San Diego,2024-06-13,Premium
CUST_00109,40,Male,San Diego,2023-05-04,Basic
CUST_00110,38,Female,Houston,2023-08-19,Premium
CUST_00111,63,Female,Los Angeles,2023-12-13,Enterprise
CUST_00112,64,Male,New York,2023-08-24,Free
CUST_00113,18,Female,Austin,2023-08-14,Free
CUST_00114,42,Male,New York,2023-03-14,Premium
CUST_00115,27,Female,Denver,2023-03-02,Premium
CUST_00116,22,Female,Houston,2023-03-11,Premium
CUST_00117,52,Non-binary,Portland,2023-02-02,Free
CUST_00118,18,Non-binary,Nashville,2023-12-05,Premium
CUST_00119,36,Male,Los Angeles,2024-06-10,Free
CUST_00120,38,Female,Houston,2023-10-13,Enterprise
CUST_00121,32,Male,Seattle,2024-05-12,Free
CUST_00122,39,Male,Houston,2023-05-16,Premium
CUST_00123,19,Male,Denver,2024-04-29,Premium
CUST_00124,56,Female,Houston,2024-04-29,Premium
CUST_00125,62,Female,Boston,2024-02-21,Basic
CUST_00126,45,Female,Houston,2023-04-07,Free
