ticket_id,customer_id,ticket_date,issue_type,status,resolution_days
TKT_0000001,CUST_00001,2023-11-17,Return Request,Resolved,5.0
TKT_0000002,CUST_00001,2024-07-08,Return Request,Resolved,6.0
TKT_0000003,CUST_00001,2023-11-29,General Inquiry,Resolved,1.0
TKT_0000004,CUST_00001,2024-07-10,Billing,Resolved,7.0
TKT_0000005,CUST_00002,2024-10-31,Shipping Delay,Resolved,4.0
TKT_0000006,CUST_00003,2023-11-21,Technical Problem,Resolved,4.0
TKT_0000007,CUST_00004,2023-10-26,Shipping Delay,Open,
TKT_0000008,CUST_00004,2023-10-12,Shipping Delay,Resolved,6.0
TKT_0000009,CUST_00004,2024-07-18,Product Quality,Resolved,7.0
TKT_0000010,CUST_00004,2024-04-28,Account Issue,Resolved,2.0
TKT_0000011,CUST_00005,2023-12-21,Shipping Delay,Resolved,7.0
TKT_0000012,CUST_00005,2023-09-11,Product Quality,Resolved,7.0
TKT_0000013,CUST_00005,2024-07-31,Return Request,Resolved,3.0
TKT_0000014,CUST_00005,2024-07-29,Product Quality,Resolved,4.0
TKT_0000015,CUST_00006,2024-09-14,Account Issue,Resolved,5.0
TKT_0000016,CUST_00007,2024-10-12,General Inquiry,Resolved,4.0
TKT_0000017,CUST_00007,2024-07-20,Product Quality,Resolved,6.0
TKT_0000018,CUST_00008,2024-07-07,Shipping Delay,Resolved,3.0
TKT_0000019,CUST_00008,2024-12-14,Product Quality,Resolved,5.0
TKT_0000020,CUST_00008,2024-11-26,Shipping Delay,Resolved,6.0
TKT_0000021,CUST_00009,2024-07-08,Account Issue,Resolved,3.0
TKT_0000022,CUST_00009,2024-06-26,Technical Problem,Resolved,3.0
TKT_0000023,CUST_00010,2023-04-14,Technical Problem,Resolved,6.0
TKT_0000024,CUST_00010,2024-05-26,General Inquiry,Resolved,6.0
TKT_0000025,CUST_00011,2024-05-30,Technical Problem,Resolved,3.0
TKT_0000026,CUST_00013,2024-10-28,Billing,Open,
TKT_0000027,CUST_00013,2024-04-28,Billing,Resolved,4.0
TKT_0000028,CUST_00014,2024-06-27,Account Issue,Resolved,4.0
TKT_0000029,CUST_00014,2024-09-28,Technical Problem,Resolved,2.0
TKT_0000030,CUST_00015,2024-04-29,General Inquiry,Resolved,6.0
TKT_0000031,CUST_00015,2024-12-15,General Inquiry,Resolved,3.0
TKT_0000032,CUST_00018,2024-06-29,Billing,Resolved,4.0
TKT_0000033,CUST_00018,2024-03-18,Shipping Delay,Resolved,4.0
TKT_0000034,CUST_00018,2024-12-04,Account Issue,Open,
TKT_0000035,CUST_00019,2024-05-18,General Inquiry,Resolved,3.0
TKT_0000036,CUST_00019,2023-10-12,General Inquiry,Resolved,1.0
TKT_0000037,CUST_00020,2024-11-09,Technical Problem,Resolved,6.0
TKT_0000038,CUST_00021,2024-10-27,Account Issue,Resolved,7.0
TKT_0000039,CUST_00021,2024-09-09,General Inquiry,Resolved,3.0
TKT_0000040,CUST_00021,2024-01-11,General Inquiry,Resolved,1.0
TKT_0000041,CUST_00022,2024-01-15,General Inquiry,Resolved,1.0
TKT_0000042,CUST_00023,2024-06-04,Technical Problem,Resolved,4.0
TKT_0000043,CUST_00023,2024-08-22,Technical Problem,Resolved,1.0
TKT_0000044,CUST_00024,2024-11-17,Shipping Delay,Resolved,3.0
TKT_0000045,CUST_00024,2024-02-13,Shipping Delay,Resolved,4.0
TKT_0000046,CUST_00025,2023-03-30,Return Request,Resolved,5.0
TKT_0000047,CUST_00027,2023-07-10,Technical Problem,Resolved,5.0
TKT_0000048,CUST_00027,2023-10-31,Account Issue,Resolved,4.0
TKT_0000049,CUST_00027,2024-08-18,Billing,Resolved,1.0
TKT_0000050,CUST_00027,2023-12-15,Product Quality,Pending,
TKT_0000051,CUST_00028,2024-01-31,Shipping Delay,Resolved,2.0
TKT_0000052,CUST_00028,2024-10-10,Shipping Delay,Pending,
TKT_0000053,CUST_00028,2024-05-13,General Inquiry,Resolved,7.0
TKT_0000054,CUST_00029,2024-09-20,Product Quality,Resolved,2.0
TKT_0000055,CUST_00031,2024-01-16,Technical Problem,Resolved,6.0
TKT_0000056,CUST_00031,2023-10-05,Billing,Resolved,1.0
TKT_0000057,CUST_00032,2023-10-05,Shipping Delay,Pending,
TKT_0000058,CUST_00032,2023-07-08,Return Request,Resolved,7.0
TKT_0000059,CUST_00033,2024-02-27,Billing,Resolved,3.0
TKT_0000060,CUST_00033,2024-01-27,Product Quality,Resolved,1.0
TKT_0000061,CUST_00033,2024-02-24,Product Quality,Resolved,5.0
TKT_0000062,CUST_00033,2024-11-04,Technical Problem,Resolved,7.0
TKT_0000063,CUST_00033,2024-07-20,Account Issue,Open,
TKT_0000064,CUST_00034,2024-12-09,Product Quality,Pending,
TKT_0000065,CUST_00034,2024-03-29,Shipping Delay,Resolved,3.0
TKT_0000066,CUST_00035,2023-11-18,Account Issue,Resolved,3.0
TKT_0000067,CUST_00035,2024-01-28,Account Issue,Resolved,3.0
TKT_0000068,CUST_00035,2024-06-30,Shipping Delay,Open,
TKT_0000069,CUST_00035,2024-08-27,Billing,Open,
TKT_0000070,CUST_00035,2024-07-14,General Inquiry,Resolved,3.0
TKT_0000071,CUST_00036,2024-10-18,Account Issue,Resolved,5.0
TKT_0000072,CUST_00037,2024-10-30,Billing,Resolved,3.0
TKT_0000073,CUST_00038,2024-11-21,General Inquiry,Resolved,2.0
TKT_0000074,CUST_00039,2024-10-18,Billing,Resolved,6.0
TKT_0000075,CUST_00039,2024-10-06,Return Request,Resolved,7.0
TKT_0000076,CUST_00039,2024-02-05,Account Issue,Resolved,4.0
TKT_0000077,CUST_00040,2023-08-12,Account Issue,Resolved,7.0
TKT_0000078,CUST_00040,2024-05-04,General Inquiry,Pending,
TKT_0000079,CUST_00040,2024-04-04,Product Quality,Resolved,1.0
TKT_0000080,CUST_00041,2024-12-11,Return Request,Resolved,1.0
TKT_0000081,CUST_00041,2023-11-24,Account Issue,Resolved,1.0
TKT_0000082,CUST_00041,2024-07-08,Account Issue,Open,
TKT_0000083,CUST_00041,2024-06-19,Return Request,Resolved,5.0
TKT_0000084,CUST_00041,2024-04-25,Product Quality,Resolved,3.0
TKT_0000085,CUST_00042,2024-08-30,General Inquiry,Resolved,7.0
TKT_0000086,CUST_00043,2024-11-14,Shipping Delay,Open,
TKT_0000087,CUST_00045,2024-06-15,General Inquiry,Open,
