transaction_id,customer_id,transaction_date,amount,category,quantity
TXN_0000001,CUST_00001,2024-01-06,19.97,Books,1
TXN_0000002,CUST_00001,2024-08-21,67.93,Books,3
TXN_0000003,CUST_00001,2023-06-19,11.6,Health & Beauty,5
TXN_0000004,CUST_00001,2023-12-23,36.69,Clothing,5
TXN_0000005,CUST_00001,2024-07-17,5.89,Clothing,4
TXN_0000006,CUST_00001,2024-12-07,15.61,Clothing,1
TXN_0000007,CUST_00001,2023-06-26,22.54,Electronics,4
TXN_0000008,CUST_00001,2024-03-10,109.31,Clothing,2
TXN_0000009,CUST_00001,2023-06-27,78.83,Toys,1
TXN_0000010,CUST_00001,2024-02-27,29.19,Office Supplies,4
TXN_0000011,CUST_00001,2023-07-01,81.48,Clothing,1
TXN_0000012,CUST_00001,2024-11-17,92.47,Electronics,3
TXN_0000013,CUST_00001,2024-05-19,39.98,Sports,1
TXN_0000014,CUST_00002,2024-08-20,40.12,Sports,2
TXN_0000015,CUST_00002,2024-12-24,43.81,Office Supplies,5
TXN_0000016,CUST_00002,2023-10-14,17.68,Toys,4
TXN_0000017,CUST_00002,2024-06-02,63.56,Sports,5
TXN_0000018,CUST_00002,2024-08-21,59.27,Clothing,3
TXN_0000019,CUST_00002,2024-09-06,67.65,Electronics,4
TXN_0000020,CUST_00002,2024-06-29,59.23,Health & Beauty,5
TXN_0000021,CUST_00002,2024-01-15,84.96,Clothing,1
TXN_0000022,CUST_00002,2023-10-15,41.05,Office Supplies,1
TXN_0000023,CUST_00002,2024-08-07,55.68,Books,5
TXN_0000024,CUST_00002,2023-12-12,34.47,Automotive,3
TXN_0000025,CUST_00002,2024-04-07,29.69,Sports,4
TXN_0000026,CUST_00002,2024-10-14,138.22,Office Supplies,4
TXN_0000027,CUST_00003,2023-11-20,95.22,Books,2
TXN_0000028,CUST_00003,2024-09-28,28.74,Electronics,1
TXN_0000029,CUST_00003,2023-10-21,25.91,Food & Beverage,5
TXN_0000030,CUST_00003,2024-03-27,58.21,Automotive,3
TXN_0000031,CUST_00003,2024-01-23,14.34,Office Supplies,5
TXN_0000032,CUST_00003,2024-09-17,24.58,Home & Garden,2
TXN_0000033,CUST_00003,2024-04-13,23.94,Food & Beverage,5
TXN_0000034,CUST_00003,2024-02-08,39.55,Food & Beverage,3
TXN_0000035,CUST_00003,2024-12-25,24.81,Electronics,5
TXN_0000036,CUST_00003,2024-06-12,169.97,Home & Garden,1
TXN_0000037,CUST_00004,2023-12-14,8.27,Automotive,5
TXN_0000038,CUST_00004,2023-06-09,64.46,Sports,3
TXN_0000039,CUST_00004,2023-11-01,82.89,Books,2
TXN_0000040,CUST_00004,2023-06-24,64.39,Health & Beauty,2
TXN_0000041,CUST_00004,2024-08-14,24.63,Toys,5
TXN_0000042,CUST_00004,2024-03-19,34.3,Office Supplies,5
TXN_0000043,CUST_00004,2024-03-23,22.92,Office Supplies,3
TXN_0000044,CUST_00004,2024-06-16,29.79,Health & Beauty,2
TXN_0000045,CUST_00004,2023-07-31,15.84,Toys,1
TXN_0000046,CUST_00004,2024-09-03,38.04,Books,1
TXN_0000047,CUST_00004,2023-11-29,12.53,Books,4
TXN_0000048,CUST_00004,2023-11-19,35.53,Books,4
TXN_0000049,CUST_00004,2024-03-19,15.36,Sports,2
TXN_0000050,CUST_00004,2024-05-28,49.21,Home & Garden,1
TXN_0000051,CUST_00004,2024-04-20,24.22,Electronics,1
TXN_0000052,CUST_00005,2024-03-31,103.79,Electronics,5
TXN_0000053,CUST_00005,2023-07-26,155.81,Home & Garden,3
TXN_0000054,CUST_00005,2024-06-23,5.78,Books,5
TXN_0000055,CUST_00005,2024-04-02,22.41,Electronics,1
TXN_0000056,CUST_00005,2023-10-20,34.28,Books,3
TXN_0000057,CUST_00005,2023-09-25,63.14,Books,3
TXN_0000058,CUST_00005,2023-09-25,11.67,Health & Beauty,5
TXN_0000059,CUST_00005,2023-12-07,19.91,Home & Garden,2
TXN_0000060,CUST_00005,2023-04-22,48.49,Home & Garden,3
TXN_0000061,CUST_00005,2023-07-12,46.76,Electronics,2
TXN_0000062,CUST_00005,2024-04-22,59.1,Clothing,3
TXN_0000063,CUST_00005,2023-11-01,62.3,Food & Beverage,4
TXN_0000064,CUST_00005,2023-12-01,57.28,Health & Beauty,3
TXN_0000065,CUST_00006,2024-06-03,47.09,Automotive,5
TXN_0000066,CUST_00006,2024-10-16,76.65,Clothing,1
TXN_0000067,CUST_00006,2024-05-20,7.51,Home & Garden,2
TXN_0000068,CUST_00006,2024-06-14,154.93,Automotive,4
TXN_0000069,CUST_00006,2024-09-15,7.72,Health & Beauty,5
TXN_0000070,CUST_00006,2024-10-13,18.99,Books,1
TXN_0000071,CUST_00006,2024-06-12,37.57,Automotive,3
TXN_0000072,CUST_00006,2024-05-23,77.14,Health & Beauty,2
TXN_0000073,CUST_00006,2024-04-04,4.1,Food & Beverage,2
TXN_0000074,CUST_00006,2024-11-23,44.04,Office Supplies,4
TXN_0000075,CUST_00006,2024-06-23,84.89,Clothing,4
TXN_0000076,CUST_00006,2024-04-10,99.79,Home & Garden,5
TXN_0000077,CUST_00006,2024-09-22,25.78,Automotive,3
TXN_0000078,CUST_00006,2024-11-18,35.4,Automotive,4
TXN_0000079,CUST_00007,2023-08-02,33.05,Health & Beauty,3
TXN_0000080,CUST_00007,2024-07-22,19.82,Toys,4
TXN_0000081,CUST_00007,2024-05-30,22.21,Food & Beverage,5
TXN_0000082,CUST_00007,2024-03-16,64.05,Office Supplies,1
TXN_0000083,CUST_00007,2023-08-31,50.27,Books,2
